Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
RDNI3;12,05;46,16;0,85;1,505;0,08%;0,307;1,63;23.974,00;-1,32;42.268,40;202,59;0,01%;4,71%;1,89;0,00%;1,84%;319.120,00;620.295.000,00;0,73;-0,05%
CEGR3;61;46,94;12,49;5,07;0,00%;4,627;82,75;26,32;-11,99;27,73;22,48;19,26%;10,80%;1,3;21,43%;26,61%;7.014,59;1.267.820.000,00;0,92;1,47%
BMIN4;20,91;48,13;0,81;0;6,70%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;1,68%;24.052,50;125.015.000,00;0;-23,92%
RAIL3;19,75;49,35;2,42;5,024;0,00%;0,882;10,74;18,51;-1,93;24,51;13,1;27,14%;10,33%;1,92;5,31%;4,90%;166.353.000,00;15.133.200.000,00;1,03;11,41%
PNVL4;20,8;50,89;3,1;1,095;0,72%;1,398;4,54;41,52;15,85;46,07;17,22;2,64%;2,15%;1,94;4,90%;6,09%;264.956,00;1.016.160.000,00;0,63;8,16%
PNVL3;20,89;51,11;3,11;1,099;0,65%;1,404;4,56;41,7;15,91;46,25;17,29;2,64%;2,15%;1,94;4,90%;6,09%;18.548.300,00;1.016.160.000,00;0,63;8,16%
LJQQ3;22,6;52,25;8,58;2,43;0,38%;2,047;7,28;21,76;-28,26;21,93;16,43;11,17%;4,65%;1,69;12,76%;16,42%;41.682.200,00;493.376.000,00;0,65;0,00%
MERC3;26,1;54,41;1,89;0;0,00%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;3,47%;34.808,00;248.946.000,00;0;-30,72%
BMIN3;24;55,25;0,93;0;0,00%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;1,68%;23.709,50;125.015.000,00;0;-23,92%
WEGE3;35,26;55,53;12,36;7,859;0,88%;6,994;21,53;40,06;32,34;39,49;34,99;19,62%;14,45%;2,06;23,74%;22,25%;276.182.000,00;11.976.300.000,00;0,15;19,84%
CBEE3;24,35;55,92;1,13;0,628;0,00%;0,343;-5,5;18,32;-0,8;37,53;11,76;3,43%;1,12%;0,81;2,14%;2,01%;28.758,80;3.603.450.000,00;1,29;7,97%
BSEV3;9;56,31;-10,76;0,889;0,00%;0,776;-1,59;4,4;-1,02;7,59;3,7;20,19%;1,58%;0,39;20,66%;-19,12%;249.349,00;-853.187.000,00;-8,95;7,12%
BMOB3;24,7;56,56;2,16;11,437;0,00%;1,466;2,84;33,52;2,84;16,04;11,81;34,12%;20,22%;2,62;20,31%;3,81%;24.667.000,00;1.041.940.000,00;0;0,00%
VIVA3;32,55;58,43;6,54;7,26;0,49%;3,87;8,52;39,58;19,52;38,96;29,68;18,34%;12,42%;3,99;12,72%;11,19%;37.549.500,00;1.175.390.000,00;0,25;0,00%
VAMO3;61,72;65,15;9,84;8,091;0,00%;2,981;19,51;34,06;-7,76;38,03;22,57;23,76%;12,42%;1,95;12,19%;15,11%;34.851.200,00;1.428.620.000,00;1,71;40,94%
